page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Valérie Plante,MTL.ValeriePlante,322991074547262,#322991074547262,363,281019,"774,2",non
Guides de voyage Ulysse,GuidesUlysse,57438374290,#57438374290,361,110644,"306,5",non
Tabarnak,TabarnakDeTabarnak,259925030792801,#259925030792801,360,727023,"2019,5",non
Réseau FADOQ,reseaufadoq,303190349734084,#303190349734084,359,143633,"400,1",non
Eye of the Tiger Management,eottmboxing,160095520746436,#160095520746436,359,99272,"276,5",non
Québec Broue,qcbroue,113945165288613,#113945165288613,356,450997,"1266,8",non
Ça finit bien la semaine,cafinitbienlasemaineTVA,155534644470107,#155534644470107,355,217895,"613,8",non
Caroline LePage мedιυм pѕycнιqυe,carolinelepagepsychiquemedium,525395050960012,#525395050960012,352,82407,"234,1",non
ICI Grand Montréal,icigrandmontreal,134483853321456,#134483853321456,348,139590,"401,1",oui
Denis Lapierre,tarot.denis.lapierre,192301490893440,#192301490893440,343,401901,"1171,7",non
Le Citoyen Rouyn - La Sarre,lecitoyenrouynlasarre,109730386592,#109730386592,343,92330,"269,2",oui
IFOLO Officiel,ifolOfficiel1,100044238019092,#100044238019092,342,273835,"800,7",non
Dernière Heure / Flash News,derniereheureflashnews,781167202001239,#781167202001239,340,123953,"364,6",non
Pierre Paul-Hus,pierrepaulhus2015,1620585748175342,#1620585748175342,340,111357,"327,5",non
Salons des animaux exotiques du Québec,animauxexotiquesquebec,334584650011529,#334584650011529,339,487636,"1438,5",non
Gouvernement du Nouveau-Brunswick,GouvNB,468844636547019,#468844636547019,335,96277,"287,4",non
Énergie Abitibi,energieabitibi,109222419280,#109222419280,334,111733,"334,5",non
Michelle Blanc,PageMichelleBlanc,100044456795544,#100044456795544,332,78523,"236,5",non
Ayoye - MDR,AyoyeMDR,1399756317019064,#1399756317019064,326,99414,305,non
Renaud-Bray,renaudbray,141609659897,#141609659897,325,270780,"833,2",non
Fatoumata Chérif,FatoumataCherif.fc,1418861045102596,#1418861045102596,325,158249,"486,9",non
L'Éclat,lecitoyenvaldoramos,252516926738,#252516926738,324,85110,"262,7",oui
Bonheur et santé,bonheuretsante.fr,285835258420981,#285835258420981,323,320064,"990,9",non
Étienne Drapeau,etiennedrapeau,9316859657,#9316859657,322,302517,"939,5",non
Magazine VÉRO,VeroMagazineQc,1490162974612664,#1490162974612664,322,160967,"499,9",non
ICI Première,iciradiocanadapremiere,146507705370236,#146507705370236,322,113564,"352,7",non
Le Courrier du Sud,lecourrierdusud,341883588568,#341883588568,318,122738,386,oui
Louis T,LouisTfanpage,135502556519947,#135502556519947,317,566181,"1786,1",non
ÉNERGIE 92.1,drummondville921,216527835579,#216527835579,317,142143,"448,4",non
MédiAT,mediat,807254436031059,#807254436031059,317,116285,"366,8",oui
Michel Therrien,michel.therrien.902,100044535152062,#100044535152062,315,216931,"688,7",non
Première heure avec Claude Bernatchez,premiereheure,116971661655293,#116971661655293,315,95162,"302,1",non
Le 5 à 7,5a7RDS,148487058559997,#148487058559997,315,88596,"281,3",non
Le Charlevoisien,charlevoisien,193760727436039,#193760727436039,314,69481,"221,3",oui
Mère ordinaire par Bianca Longpré,MereOrdinaireBiancaLongpre,339591429764720,#339591429764720,312,2426465,"7777,1",non
Courrier Laval,courrierlaval,370414103097,#370414103097,310,86921,"280,4",oui
Prières inspirées,prieresinspirees,144334405942294,#144334405942294,309,154027,"498,5",non
Catherine Dorion,catherinedorionqs,646548199069682,#646548199069682,306,581213,"1899,4",non
Vivre avec la pensée positive,celine.lacoursiere23,713936025342729,#713936025342729,306,293257,"958,4",non
Stephane Monette,smonette,549020431835568,#549020431835568,306,171065,559,non
Marie-Chantal Toupin,MarieChantalToupin,807249822701548,#807249822701548,303,281364,"928,6",non
Tastet,guidetastet,445189975538910,#445189975538910,302,90562,"299,9",non
Office du tourisme de Québec,Quebeccite,203853296298919,#203853296298919,299,560302,"1873,9",non
