page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Nouvelles Chrétiennes TV,chainedepriereDaniline,623503031079061,#623503031079061,202,4522,"22,4",non
Théâtre de Grand-Champ,theatredegrandchamp,1592976967649301,#1592976967649301,200,1390,7,non
CHUV / Centre hospitalier universitaire vaudois,CHUVLausanne,975855452425631,#975855452425631,199,71499,"359,3",non
Haute école pédagogique du Valais / Pädagogische Hochschule Wallis,hepvs.phvs,1822826441374651,#1822826441374651,199,2543,"12,8",non
EF Belgique - Séjour Linguistique,EFBelgique,174451995828,#174451995828,198,1324,"6,7",non
Extinction Rebellion Switzerland,XRSwitzerland,2217876995113488,#2217876995113488,198,6512,"32,9",non
TCS Section vaudoise,TCS.Vaud,171362249546208,#171362249546208,197,4473,"22,7",non
Centre Patronal,centrepatronal,285283771498473,#285283771498473,196,8308,"42,4",non
Land Rover,landroverswitzerland,513227672045235,#513227672045235,196,7974,"40,7",non
economiesuisse - Suisse romande,economiesuisse.suisseromande,136766393061294,#136766393061294,195,4388,"22,5",non
Villars,villarstourisme,196707407013612,#196707407013612,195,21414,"109,8",non
Service des sports - Lausanne la sportive,lausannelasportive,338902949579592,#338902949579592,192,4505,"23,5",non
Université de Lausanne,unil.ch,139695026193350,#139695026193350,192,4735,"24,7",non
bUGbUs.nEt,bugbus,196277133508,#196277133508,191,11929,"62,5",non
Helvetia Assurances,helvetia.assurances.suisse,116847345054535,#116847345054535,191,1857,"9,7",non
Buchard Voyages,buchardvoyages,314121321937100,#314121321937100,190,26652,"140,3",non
PDC - district de Martigny,pdc.district.martigny,1209360919184219,#1209360919184219,189,973,"5,1",non
Camping-Insider,CampingInsider,977498379090198,#977498379090198,188,4914,"26,1",non
Citroën,Citroen.CH,211392378880021,#211392378880021,188,45457,"241,8",non
FIFDH Genève,fifdh.geneve,54635177985,#54635177985,188,7513,40,non
Police Cantonale du Valais,policevalais,159601647456875,#159601647456875,188,98014,"521,4",non
Lausanne 2020,lausanne2020,153239158196852,#153239158196852,187,29128,"155,8",non
Extinction Rebellion Fribourg,xrfribourg,156261515311734,#156261515311734,187,6101,"32,6",non
Christophe Clivaz Conseiller National,ChristopheClivazVertsVS,104467531127207,#104467531127207,186,4544,"24,4",non
NUC Volleyball,nucvolleyball,136856036662702,#136856036662702,186,5730,"30,8",non
Val d'Anniviers,valdanniviers,264482503656348,#264482503656348,186,42377,"227,8",non
La Torche 2.0,latorche20,318431168592838,#318431168592838,185,12721,"68,8",non
Police cantonale vaudoise,policevd,181877748516713,#181877748516713,185,234586,1268,non
Jaguar,JaguarSchweiz,488358064549358,#488358064549358,183,10735,"58,7",non
Les Docks,lesdocksCH,194843843867653,#194843843867653,183,6338,"34,6",non
Haute école de gestion de Genève,heg.geneve,51532196886,#51532196886,182,814,"4,5",non
OUTLET AUBONNE,outletaubonne,134576179976745,#134576179976745,182,3707,"20,4",non
Veysonnaz - Switzerland,Veysonnaz.ch,151054914957641,#151054914957641,182,7396,"40,6",non
Karting et Lasergame Bassecourt,bassecourtkarting,665168283604484,#665168283604484,181,3011,"16,6",non
Fribourg Centre,fribourgcentre,123124561075168,#123124561075168,181,2478,"13,7",non
"Passeport Gourmand Haute-Savoie, Savoie, Ain",PasseportGourmandHauteSavoie,850817331762995,#850817331762995,181,3981,22,non
Nouvo RTS,NouvoFR,352387077653,#352387077653,180,141994,"788,9",oui
POCHE /GVE,POCHEgve,528337893975462,#528337893975462,180,2457,"13,7",non
