page,pseudo,fbid,fbid#,nb,interactions,intMoyennes,média
Djoulia Prates,DjouliaPratesforJesus,2003738109658494,#2003738109658494,683,97779,"143,2",non
DH Luxembourg,DHLuxembourg,2062344110709192,#2062344110709192,683,18343,"26,9",oui
Csc Mons-La Louvière,csc.monslalouviere,541951839273459,#541951839273459,683,15947,"23,3",non
Ville de Tournai,villedetournai,265220689004,#265220689004,681,53004,"77,8",non
Belgian Federal Police,BelgianFederalPolice,140020849374601,#140020849374601,677,285612,"421,9",non
Kazidomi,kazidomi,221919051502386,#221919051502386,677,39965,59,non
FOOT 224,foot224,178315525610039,#178315525610039,671,599383,"893,3",non
Le Lombard,lelombardbd,49864931287,#49864931287,671,23076,"34,4",non
Le 6-8 RTBF,le68RTBF,1185275224821555,#1185275224821555,670,241362,"360,2",oui
Ma vie est celle que je choisis,MaVieEstCelleQueJeChoisis,133094566861396,#133094566861396,670,120749,"180,2",non
RTLplay,RTLplay,1310838368926637,#1310838368926637,668,270489,"404,9",non
Gembloux (page officielle),GemblouxpageOfficielle,379880255421698,#379880255421698,663,16622,"25,1",non
Invocations et Rappels d'Islam en Français FB,IslamSunnite,1636095596644416,#1636095596644416,659,340521,"516,7",non
A.C Milan Club France,ACMilanClubFrance,2121834124754939,#2121834124754939,659,204220,"309,9",non
Yummy Cakes by Yasmine,yummycakesyasmine,687271931447141,#687271931447141,657,117624,179,non
GAIA - Global Action in the Interest of Animals,gaia.be,208140805905898,#208140805905898,655,432029,"659,6",non
Belgium Running,Belgiumrunning,1708678016015438,#1708678016015438,655,57348,"87,6",non
Gauche anticapitaliste,gaucheanticapitaliste,121620311194202,#121620311194202,654,44460,68,non
Caroline Taquin Bourgmestre,TaquinCaroline,521491117964147,#521491117964147,649,49098,"75,7",non
Standard de Liège,rscl.be,957835440957401,#957835440957401,644,482267,"748,9",non
Radio Coran non-stop,radiocorannonstop,117774698235233,#117774698235233,640,296682,"463,6",non
Lion Indomptable,lionindomptablecameroun,192799550926041,#192799550926041,638,268639,"421,1",non
Promo - Dj - Event,promodjevent,1769412346708558,#1769412346708558,638,40250,"63,1",non
LesFrancais.press,lesfrancaispress,171271943592444,#171271943592444,636,13377,21,non
"Cedimmo : L'Immobilier, notre passion",Cedimmo,437347739667320,#437347739667320,634,13591,"21,4",non
AC Milan - Francophone.,AcMilanFrancophone,219681364828938,#219681364828938,631,209833,"332,5",non
G - solo ya likambu,GlaboucheGPP,689743387880805,#689743387880805,630,78052,"123,9",non
La Louvière,VilleLaLouviere,136450603103003,#136450603103003,627,58425,"93,2",non
Maït Armoir - Clothing & Beauty Company,mait.armoir1,1526993200887388,#1526993200887388,624,325614,"521,8",non
Shopforgeek,shopforgeek,890208191001670,#890208191001670,623,457830,"734,9",non
G labouche promotion musique,Glabouchestarstv,592143290933400,#592143290933400,622,15422,"24,8",non
"Dans les musées, la gratuité c'est maintenant - Arts&Publics",GratuiteMusees,174555322671559,#174555322671559,613,18845,"30,7",non
AFRIQUEMEDIATV.pageofficielle,AFRIQUE.MEDIA.TV,507382332761535,#507382332761535,613,7115,"11,6",non
Royal Francs Borains,FrancsBorains,828698963895685,#828698963895685,612,54839,"89,6",non
Ville de Verviers,verviers,293017034158999,#293017034158999,607,36702,"60,5",non
Wavre Commerce,wavrecommerce,393367354085173,#393367354085173,606,20436,"33,7",non
RAAL La Louvière,raal.be,1841304106093507,#1841304106093507,605,65420,"108,1",non
Pkapkato Magasine,pkapkatomagasine,100045124052857,#100045124052857,600,18399,"30,7",non
Easy Clothes,Easy.Clothes.MG,210187959191308,#210187959191308,598,94341,"157,8",non
Kennes Editions,KennesEditions,180489912115897,#180489912115897,596,85576,"143,6",non
Mouvement Nation,MOUVEMENTNATION,1602667783297798,#1602667783297798,592,69088,"116,7",non
Light Pro Agency,Lightpro8,2194580000000000,#2194577354095470,592,46940,"79,3",non
La Meuse Sports Luxembourg,LaMeuseSportsLuxembourg,2144346399024183,#2144346399024183,592,7349,"12,4",oui
Healthy Student,healthystud,998366366927140,#998366366927140,584,223290,"382,3",non
Brigade des nurses,lesinfirmieres,761877507158621,#761877507158621,579,3630483,"6270,3",non
Mixx FM Charleroi,mixxfmradio,444417642271398,#444417642271398,579,8884,"15,3",non
Et si l'univers me répondait,Etsiluniversmerepondait,268996599827634,#268996599827634,577,210292,"364,5",non
Adramatic Hip-Hop,adramatichiphop,1661415044130836,#1661415044130836,574,1060720,"1847,9",non
Matélé Sport,Matele.Sport,107821382619727,#107821382619727,574,23562,41,non
DH WAPI,dh.wapi,477322315683616,#477322315683616,567,13593,24,oui
Entrez sans frapper - La Première RTBF,ESFRTBF,1459090864357733,#1459090864357733,562,162647,"289,4",non
Librairie Filigranes,filigranes,96007130135,#96007130135,561,48718,"86,8",non
Des Idées de Génie,IdeesDeGenie,162948383865708,#162948383865708,554,14094,"25,4",non
Madame Imparfaite,Madame1parfaite,2374680000000000,#2374679872800740,550,119501,"217,3",non
GRACQ Bruxelles,gracqbruxelles,608394452587796,#608394452587796,550,62013,"112,8",non
Ville d'Andenne,andenne.ville,197099176988892,#197099176988892,550,56659,103,non
Villedecomines Warneton,villedecomines.warneton,1602238763332214,#1602238763332214,543,38933,"71,7",non
Protection des Oiseaux - LRBPO,protectiondesoiseaux,294880983704,#294880983704,542,578152,"1066,7",non
ULB - Université libre de Bruxelles,ulbruxelles,132967953406187,#132967953406187,541,38419,71,non
Company M.K.L,lapagedesnigeriens,203004260218468,#203004260218468,541,19045,"35,2",non
CNCD-11.11.11,111111CNCD,118510721519982,#118510721519982,540,46344,"85,8",non
Ecolo,ecolo,38296327361,#38296327361,538,173661,"322,8",non
Standard de Liège - Supporters,StandaardCLBelgique,1443007752606985,#1443007752606985,535,287276,537,non
Couple mixte kat&jo,Katjo225,110621277272313,#110621277272313,535,60302,"112,7",non
RTBF Mobilinfo,rtbf.mobilinfo,150524953249,#150524953249,534,13150,"24,6",non
Royal Excel Mouscron,RoyalExcelMouscron,432469670161670,#432469670161670,532,65347,"122,8",non
Le Chemin de L'Ame,pageduchemindelame,2181388908787144,#2181388908787144,532,49866,"93,7",non
Judaïca,radiojudaica,552540291522809,#552540291522809,532,16205,"30,5",non
DH - Sporting de Charleroi,dhsportingcharleroi,1551938131505601,#1551938131505601,531,72470,"136,5",non
Impact Centre Chrétien - Campus Bruxelles,ICCBXL,136068503139330,#136068503139330,530,61292,"115,6",non
Anderlues Tourisme,anderlues.tourisme,1538718916345085,#1538718916345085,527,16641,"31,6",non
BOUVY MOTOR Nissan,bouvymotor.be,639125546223884,#639125546223884,526,11517,"21,9",non
Doische Infos,communededoische,1418489911735155,#1418489911735155,525,16404,"31,2",non
Herstal à l'ancienne - asbl,HerstalALancienne,340367702739780,#340367702739780,523,89837,"171,8",non
Le Bien-Être et le Mieux-Être,toutestunesttous,437019333000558,#437019333000558,523,35501,"67,9",non
Ville de Jodoigne,VilledeJodoigne,1050070000000000,#1050073311801530,521,25863,"49,6",non
Gregory Lemarchal,gregorylemarchal112,20963063177,#20963063177,519,2461591,"4742,9",non
PTB Charleroi / Sud-Hainaut,charleroi.ptb,456513607703209,#456513607703209,516,30587,"59,3",non
DH Verviers,dhverviers,2303757866547693,#2303757866547693,516,7468,"14,5",oui
"Patt El Persévérance Dourilla. ""The Shining Star of GOD""",pattelperseverance,100050152764164,#100050152764164,515,11923,"23,2",non
Guillaume Corpard,GuillaumeCorpard.officiel,751329708372566,#751329708372566,514,2556520,"4973,8",non
Election présidentielle aux USA,luc.delalune,103821287744222,#103821287744222,514,4396,"8,6",non
